,GDF3,AC234917.1,LINC02313,AC087441.1,AC005670.2,AL591438.2,AC106798.1,CYP3A4,AC093627.4,AC004832.5,CARMIL3,AL049766.3,MCF2L2,AP001357.2,OR10Y1P,SLAMF6,U1
07H043,0.0,1.3807537708039002,0.0,0.03342375548694973,0.0,0.33041377334919075,0.04532297878665747,0.6404814369704218,0.0,1.421603926869831,0.0,0.6127838567197355,0.0,0.41161970596323016,0.0,0.0,0.07554696139253074
07H045,0.0,1.5381965783494542,0.004321373782642578,0.02530586526477026,0.0,0.11727129565576427,0.07918124604762482,0.24303804868629442,0.03342375548694973,1.3588862044058692,0.0,0.10720996964786837,0.06818586174616162,0.5943925503754267,0.0,0.6766936096248666,0.04921802267018165
07H052,0.0,1.504062882678692,0.0,0.17897694729316943,0.0,0.06445798922691845,0.0,0.7860412102425542,0.0,1.2617385473525378,0.0,0.17318626841227402,0.029383777685209667,0.4099331233312946,0.0,0.004321373782642578,0.012837224705172217
07H055,0.0,1.6337713460825556,0.0,0.01703333929878037,0.0,0.2304489213782739,0.5276299008713387,0.38021124171160603,0.0,1.5475285764597821,0.0,0.6812412373755872,0.0,0.5263392773898441,0.0,0.004321373782642578,0.0
07H062,0.0,1.26030994579492,0.0,0.08278537031645007,0.0,0.5705429398818975,0.07918124604762482,0.6720978579357175,0.0,1.1679078100014801,0.0,0.6608654780038692,0.0,0.7355988996981799,0.0,0.004321373782642578,0.0
07H069,0.0,1.5273720828276118,0.0,0.012837224705172217,0.0,0.4927603890268375,0.06818586174616162,1.0102999566398119,0.0,1.3483048630481607,0.0,0.9708116108725178,0.0,0.6821450763738318,0.0,0.012837224705172217,0.021189299069938092
07H082,0.0,1.2942457161381182,0.0,0.04921802267018165,0.0,0.2304489213782739,0.0,0.5550944485783191,0.0,1.3244882333076564,0.04921802267018165,0.6794278966121188,0.03342375548694973,0.4742162640762552,0.0,0.0,0.35024801833416286
07H089,0.0,1.449478399187365,0.0,0.17318626841227402,0.0,0.5865873046717549,0.05307844348341968,0.9969492484953811,0.07554696139253074,1.5036545192429593,0.06445798922691845,0.6637009253896481,0.0,0.92272545799326,0.0,0.004321373782642578,0.0
07H095,0.0,1.2741578492636798,0.0,0.06445798922691845,0.0,0.5658478186735176,0.26245108973042947,0.9947569445876281,0.0,1.2615007731982801,0.0,0.8401060944567578,0.0,0.75815462196739,0.0,0.004321373782642578,0.01703333929878037
07H098,0.0,1.529045170765769,0.0,0.07554696139253074,0.0,0.32428245529769273,0.06818586174616162,0.8312296938670634,0.0,1.3991543339582164,0.03742649794062367,0.48287358360875376,0.01703333929878037,0.6683859166900001,0.0,0.01703333929878037,0.32428245529769273
07H099,0.0,1.2650537885040147,0.0,0.07188200730612536,0.0,0.41995574848975786,0.0,0.72916478969277,0.029383777685209667,1.5747255835940734,0.0,0.7656685547590141,0.0,0.7686381012476144,0.0,0.004321373782642578,0.0
07H106,0.0,1.6079908585471747,0.0,0.06069784035361165,0.0,0.07554696139253074,0.07188200730612536,0.5611013836490559,0.008600171761917567,1.2808059283936668,0.0,0.5751878449276611,0.0,0.4424797690644485,0.0,0.0,0.0
07H107,0.0,1.4831592097169797,0.0,0.06069784035361165,0.0,0.3159703454569178,0.04921802267018165,0.7774268223893114,0.0,1.4893959217271293,0.0,0.5514499979728752,0.0,0.6551384348113821,0.0,0.004321373782642578,0.0
07H112,0.0,1.594282028811806,0.0,0.08278537031645007,0.04139268515822507,0.13353890837021748,0.04532297878665747,0.48287358360875376,0.0,1.6739419986340878,0.0,0.9415114326344031,0.0,0.6063813651106049,0.0,0.008600171761917567,0.0
07H117,0.0,1.1622656142980214,0.004321373782642578,0.04532297878665747,0.0,0.004321373782642578,0.03342375548694973,0.41161970596323016,0.0,1.276461804173244,0.0,0.7331972651065695,0.0,0.1367205671564068,0.0,0.004321373782642578,0.09691001300805642
07H124,0.0,1.5670263661590604,0.0,0.07554696139253074,0.0,0.23552844690754893,0.008600171761917567,0.7930916001765802,0.008600171761917567,1.6108730003800518,0.0,1.0081741840064264,0.0,0.6972293427597176,0.0,0.012837224705172217,0.0
07H125,0.012837224705172217,1.2986347831244356,0.0,0.07918124604762482,0.0,0.6839471307515121,0.6608654780038692,0.9684829485539351,0.0,1.344195715871435,0.0,0.3873898263387294,0.0,0.8567288903828826,0.0,0.01703333929878037,0.03342375548694973
07H131,0.0,1.66143405039392,0.0,0.02530586526477026,0.0,0.2304489213782739,0.0,0.06069784035361165,0.029383777685209667,1.3332456989619628,0.0,0.7041505168397991,0.0,0.6766936096248666,0.0,0.029383777685209667,0.07554696139253074
07H133,0.0,1.5251744278352715,0.0,0.06445798922691845,0.0,0.6404814369704218,0.02530586526477026,1.1604685311190375,0.0,1.320354032817672,0.0,0.46089784275654777,0.0,0.7839035792727349,0.0,0.004321373782642578,0.0
07H134,0.0,1.3653007486379873,0.0,0.01703333929878037,0.0,0.17609125905568124,0.5976951859255123,0.3521825181113625,0.12385164096708583,1.5757649805367193,0.0,0.515873843711679,0.004321373782642578,0.3926969532596657,0.0,0.0,0.0
07H135,0.012837224705172217,1.5759956202032677,0.0,0.11058971029924897,0.0,0.4345689040341987,0.0,0.9324737646771531,0.0,1.2699796766453237,0.0,0.271841606536499,0.0,0.6901960800285137,0.0,0.0,0.0
07H137,0.0,1.402433346219312,0.0,0.04532297878665747,0.0,0.8998205024270962,0.012837224705172217,0.7708520116421442,0.056904851336472634,1.2337573629655105,0.0,0.515873843711679,0.0,0.667452952889954,0.0,0.0,0.01703333929878037
07H144,0.0,1.1911714557285586,0.0,0.10380372095595687,0.0,0.48144262850230496,0.01703333929878037,0.7363965022766424,0.0,1.2995072987004876,0.0,0.25527250510330607,0.0,0.6720978579357175,0.0,0.0,0.0
07H148,0.0,1.3382572302462556,0.0,0.1903316981702915,0.04921802267018165,0.5237464668115644,0.0,0.9283958522567138,0.0,1.4237372499823293,0.0,1.4371160930480786,0.0,0.42813479402878873,0.0,0.012837224705172217,0.7299742856995556
07H151,0.0,1.5911759503117913,0.0,0.20411998265592482,0.02530586526477026,0.4941545940184428,0.0,0.7686381012476144,0.004321373782642578,1.4865721505183564,0.0,0.04532297878665747,0.0,0.6646419755561255,0.0,0.008600171761917567,0.012837224705172217
07H152,0.06445798922691845,1.2571984261393445,0.0,0.04921802267018165,0.0,0.46982201597816303,0.1205739312058499,0.8976270912904414,0.06069784035361165,1.4652340949880145,0.0,1.5422027824340283,0.0,0.7505083948513462,0.0,0.01703333929878037,0.008600171761917567
07H156,0.0,1.2743887955503788,0.0,0.11058971029924897,0.0,0.33041377334919075,0.04921802267018165,0.5888317255942073,0.0,1.3600250891893975,0.0,1.147985320683805,0.0,0.617000341120899,0.0,0.0,0.04921802267018165
07H158,0.0,1.4987239707479048,0.0,0.08278537031645007,0.07918124604762482,0.35793484700045386,0.056904851336472634,0.41161970596323016,0.0,1.5424519473759766,0.0,0.437750562820388,0.0,0.8727388274726688,0.0,0.0,0.021189299069938092
07H160,0.0,1.341038631677523,0.0,0.09691001300805642,0.0,0.6063813651106049,0.008600171761917567,0.9268567089496923,0.0,1.2073650374690719,0.11394335230683678,0.021189299069938092,0.0,0.5502283530550941,0.0,0.01703333929878037,0.008600171761917567
08H004,0.0,1.314077991779213,0.0,0.05307844348341968,0.021189299069938092,0.42813479402878873,0.15836249209524964,0.5224442335063199,0.0,1.4574276929464844,0.0,1.1900514177592059,0.008600171761917567,0.37474834601010387,0.0,0.0,0.0
