,DNMT3B,CPXM1,LAPTM4B,CDK6,DPYSL3,SOCS2,ARHGAP22,ZBTB46,EMP1,MMRN1,CD34,AKR1C3,NYNRIN,SMIM24,ADGRG1,Z99755.1
07H135,1.472902651803664,2.356198010307629,2.300704152596124,2.010257542998301,1.7674527180977733,2.028855809390444,1.600537294364469,0.7671558660821804,1.2286569581089353,0.5502283530550941,1.481442628502305,1.7930216598459832,0.7535830588929066,2.3344939617413862,1.995020606124758,0.0
07H137,0.7092699609758307,1.9962051061783244,1.0374264979406236,2.105476121121821,0.04921802267018165,1.4183012913197455,0.2944662261615929,1.0659529803138696,1.8007170782823851,1.0923696996291206,2.4168068718229443,1.7488854400095166,0.3010299956639812,2.0975696394313714,0.5314789170422551,0.0
07H144,0.3443922736851107,1.8798983243300098,0.34830486304816066,1.6185710281201298,0.9552065375419417,0.5831987739686227,0.724275869600789,0.36172783601759284,2.783210154852034,1.2650537885040147,2.2863890972285184,1.4942937686653326,0.17026171539495738,2.1509405539654773,0.4927603890268375,0.0
07H148,1.085290578230065,1.4766867429456447,1.321184027302314,1.7630534402996147,0.5502283530550941,1.166133970305109,0.9020028913507294,0.3424226808222063,1.06781451116184,0.8704039052790271,1.8691730273216831,1.5166675590990428,0.37657695705651195,1.8503398545834793,1.1883659260631483,0.0
07H151,1.1389339402569236,1.8328919447597907,1.5460488664017342,2.0361496297458532,2.051268318870385,1.5990092398233435,1.3083509485867257,1.070037866607755,1.6631353149577541,0.06445798922691845,0.17609125905568124,0.72916478969277,0.8893017025063104,2.3195640660921644,1.1528995963937474,0.0
07H152,1.2810333672477277,1.7573200965466724,1.70372115992702,1.8494808372439862,1.030599721965951,2.4855226841924045,1.0199466816788423,1.2579184503140584,1.7960189693471493,1.5281450782531065,1.9289076902439528,2.049024097915049,0.9350031514536548,1.606381365110605,1.673665876245702,0.0
07H156,1.7765559107032618,1.9158745028576916,0.6020599913279624,1.7627535649333739,0.36548798489089973,1.1914510144648953,1.0674428427763807,0.8061799739838872,1.3741982579290828,0.8142475957319202,2.1272992150577075,1.3416323357780544,0.7458551951737289,1.8246464147183519,1.150756439860309,0.0
07H158,1.0153597554092142,2.1517068570225764,2.287891265954026,2.130044142287604,1.645225711535416,1.7373516958037145,1.2757719001649315,0.850033257689769,1.2268575702887234,0.04921802267018165,0.09342168516223506,1.5434471800817002,0.37474834601010387,2.062168173351783,1.5594277997594899,0.0
07H160,0.7024305364455253,2.2823048283705702,1.024485667699167,1.4820155764507117,0.4927603890268375,2.54703589974001,1.0909630765957317,0.49831055378960054,1.0273496077747566,2.156761098306624,0.41995574848975786,1.4835872969688941,1.1568519010700111,1.5523031093383541,0.8169038393756602,0.0
08H004,0.3521825181113625,0.47856649559384334,0.3344537511509309,0.8585371975696391,0.26007138798507473,0.2966651902615311,0.5250448070368452,0.13033376849500614,1.1367205671564067,0.16731733474817606,0.17609125905568124,0.505149978319906,0.08278537031645007,0.4424797690644485,0.41995574848975786,0.0
