,AL356310.1,FER1L6_AS2,ACTG1P23,AL136985.1,DOK1,IGKV1_16,OTX2,AC012507.2,RPL9P33,NCKAP1L,FRMD3,SNX18P27,UBXN7_AS1,SMKR1,MED15,CD200R1,AP001476.2
10H119,0.008600171761917567,0.0,0.0,0.17897694729316943,0.0,0.0,0.0,0.0,0.24303804868629442,0.9854264740830017,0.0,0.07554696139253074,0.008600171761917567,0.0,0.60422605308447,1.8438554226231612,0.01703333929878037
10H127,0.1553360374650618,0.02530586526477026,0.008600171761917567,0.21748394421390624,0.02530586526477026,0.0,0.01703333929878037,0.0,0.39093510710337914,0.8609366207000937,0.0,0.04921802267018165,0.008600171761917567,0.004321373782642578,0.6384892569546373,0.004321373782642578,0.021189299069938092
10H130,0.11727129565576427,0.02530586526477026,0.0,0.12385164096708583,0.0,0.0,0.0,0.0,0.26245108973042947,0.9304395947667001,0.0,0.10380372095595687,0.008600171761917567,0.11394335230683678,0.8234742291703011,0.885361220031512,0.0
10H136,0.0,0.03342375548694973,0.0,0.23299611039215382,0.02530586526477026,0.0,0.004321373782642578,0.0,0.3384564936046048,0.6599162000698503,0.0,0.09691001300805642,0.008600171761917567,0.021189299069938092,0.5092025223311029,2.1127055210308927,0.0
10H166,0.26245108973042947,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.16731733474817606,0.8122446968003693,0.0,0.1553360374650618,0.0,0.03742649794062367,0.42813479402878873,0.09342168516223506,0.0
10H173,0.04139268515822507,0.01703333929878037,0.0,0.24551266781414982,0.06069784035361165,0.0,0.0,0.0,0.2944662261615929,0.5502283530550941,0.0,0.11058971029924897,0.0,0.0,0.5865873046717549,0.359835482339888,0.0
10H174,0.10037054511756291,0.008600171761917567,0.0,0.04139268515822507,0.01703333929878037,0.0,0.0,0.0,0.3996737214810381,0.7267272090265723,0.0,0.17897694729316943,0.0,0.3384564936046048,0.7656685547590141,0.6180480967120927,0.3159703454569178
11H002,0.17026171539495738,0.05307844348341968,0.0,0.3159703454569178,0.056904851336472634,0.0,0.0,0.0,0.49831055378960054,0.8943160626844384,0.0,0.1205739312058499,0.0,0.08990511143939793,0.6424645202421214,0.6222140229662952,0.012837224705172217
11H006,0.1553360374650618,0.06069784035361165,0.0,0.4487063199050799,0.0,0.0,0.008600171761917567,0.0,0.2787536009528289,0.6946051989335688,0.0,0.07188200730612536,0.01703333929878037,0.13987908640123647,0.4471580313422192,1.2304489213782739,0.029383777685209667
11H009,0.17318626841227402,0.0,0.0,0.17026171539495738,0.0,0.0,0.008600171761917567,0.0,0.3996737214810381,0.8228216453031046,0.0,0.17318626841227402,0.01703333929878037,0.029383777685209667,0.7839035792727349,0.04921802267018165,0.0
