,AP002505.2,C22orf31,SLC26A10,AC005229.1,CRYBA4,AC011095.1,EP400P1,METTL15P1,C1orf50,FCF1P8,AC006122.1,NPIPA5,FKBP4,AC006064.1,RN7SL183P,AL360270.2,TSPAN18_AS1
05H030,0.008600171761917567,0.0,1.5704261783589726,0.0,0.0,1.5429498488141788,0.008600171761917567,0.012837224705172217,0.0,1.6974908871710568,0.0,0.0,0.0,0.0,1.505149978319906,0.008600171761917567,0.0
05H034,0.04139268515822507,0.0,1.7834747875822465,0.0,0.0,1.244771761495295,0.0,0.0,0.0,1.2457593559672768,0.0,0.0,0.0,0.0,1.3100557377508915,0.0,0.0
05H042,0.0,0.0,1.890979596989689,0.0,0.0,1.4393326938302626,0.0,0.0,0.0,1.3628593029586802,0.0,0.0,0.008600171761917567,0.0,1.342817314635733,0.0,0.0
05H050,0.01703333929878037,0.0,1.7949757440511316,0.0,0.0,1.3754807146185724,0.01703333929878037,0.0,0.04532297878665747,1.2081725266671217,0.0,0.0,0.0,0.0,1.3554515201265174,0.004321373782642578,0.0
05H054,0.03742649794062367,0.0,1.7673043174532732,0.0,0.0,1.503790683057181,0.004321373782642578,0.012837224705172217,0.0,1.3615389712692791,0.0,0.0,0.0,0.0,1.230959555748569,0.0,0.0
05H065,0.012837224705172217,0.0,1.608526033577194,0.0,0.0,1.476541809027429,0.0,0.01703333929878037,0.029383777685209667,1.4893959217271293,0.0,0.0,0.01703333929878037,0.0,1.2699796766453237,0.004321373782642578,0.0
05H066,0.01703333929878037,0.0,1.5532760461370994,0.0,0.0,1.5185139398778875,0.004321373782642578,0.06069784035361165,0.03742649794062367,1.2889196056617265,0.0,0.0,0.008600171761917567,0.02530586526477026,1.212187604403958,0.004321373782642578,0.0
05H072,0.04139268515822507,0.0,1.900148560719344,0.0,0.0,1.5112147011363881,0.029383777685209667,0.0,0.05307844348341968,1.396548037987132,0.0,0.0,0.0,0.06445798922691845,1.3334472744967505,0.0,0.0
05H078,0.03342375548694973,0.0,1.5249151475398668,0.0,0.0,1.3494717992143856,0.004321373782642578,0.0,0.06069784035361165,1.4131320504348721,0.0,0.0,0.0,0.0,1.1395642661758498,0.004321373782642578,0.0
05H090,0.008600171761917567,0.0,1.4940153747571436,0.0,0.0,1.6918768225593313,0.008600171761917567,0.01703333929878037,0.05307844348341968,1.4345689040341987,0.0,0.0,0.008600171761917567,0.03342375548694973,1.1464381352857747,0.0,0.0
