,AKR1B10,AL161652.1,RXRA,TRNP1,C4A,AC020558.6,NOS1AP,ZMYM4_AS1,ERICH3_AS1,CARD9,AP001317.1,PPP1R2P10,Y_RNA,JPT2,AC096922.1,PALB2,AL138918.1
03H060,0.0,1.38524868240322,0.0,0.0,0.0,0.4517864355242902,0.0,0.01703333929878037,0.0,0.7795964912578245,0.021189299069938092,0.0,0.04921802267018165,0.8195439355418687,0.04921802267018165,0.5717088318086876,0.02530586526477026
03H065,0.0,1.7790189719148706,0.0,0.08635983067474821,0.0,0.5943925503754267,0.0,0.03742649794062367,0.0,0.9585638832219674,0.0,0.0,0.012837224705172217,0.9903388547876014,0.10720996964786837,1.1351326513767748,0.0
03H067,0.004321373782642578,1.8048887446223913,0.0,0.02530586526477026,0.0,0.6273658565927327,0.004321373782642578,0.08635983067474821,0.0,1.089551882886454,0.0,0.0,0.008600171761917567,1.2108533653148932,0.10720996964786837,0.9822712330395684,0.0
03H070,0.04921802267018165,1.8014723135214712,0.0,0.1903316981702915,0.0,0.8887409606828927,0.0,0.056904851336472634,0.004321373782642578,1.5054213275832808,0.0,0.0,0.008600171761917567,1.0614524790871933,0.10720996964786837,1.131297796597623,0.0
03H081,0.03742649794062367,1.8436064719245109,0.0,0.03742649794062367,0.0,1.2629254693318315,0.0,0.18184358794477254,0.0,1.4094258686714434,0.0,0.0,0.008600171761917567,1.3469394626989906,0.35410843914740087,1.1228709228644356,0.0
03H090,0.08278537031645007,1.6869935662646784,0.0,0.04921802267018165,0.0,0.6711728427150833,0.0,0.26481782300953643,0.0,1.0588054866759067,0.0,0.0,0.004321373782642578,0.9867717342662448,0.13353890837021748,0.9758911364017928,0.029383777685209667
03H095,0.021189299069938092,1.8588979572320035,0.0,0.029383777685209667,0.0,0.904715545278681,0.0,0.09342168516223506,0.0,1.0346284566253203,0.012837224705172217,0.0,0.008600171761917567,1.0648322197385738,0.15228834438305647,1.1065308538223813,0.02530586526477026
03H109,0.11394335230683678,1.7984434603501875,0.0,0.08278537031645007,0.0,0.8524799936368563,0.0,0.05307844348341968,0.0,1.1643528557844371,0.0,0.0,0.0,1.395501124305626,0.17026171539495738,1.1000257301078626,0.0
03H112,0.06069784035361165,1.734319680859007,0.0,0.09691001300805642,0.0,0.5786392099680724,0.0,0.021189299069938092,0.0,1.0722498976135149,0.0,0.0,0.0,1.1192558892779367,0.1205739312058499,1.011570443597278,0.0
03H116,0.1430148002540951,2.0774769195043423,0.0,0.2528530309798932,0.0,0.9068735347220704,0.0,0.2944662261615929,0.0,1.416640507338281,0.0,0.01703333929878037,0.004321373782642578,1.5615783683009605,0.20411998265592482,1.3068537486930087,0.0
03H119,0.012837224705172217,1.9208013818256542,0.0,0.012837224705172217,0.0,0.4099331233312946,0.0,0.029383777685209667,0.0,1.300812794118117,0.0,0.0,0.008600171761917567,1.2817149700272958,0.19589965240923368,1.0755469613925308,0.0
