,AC009054.2,PMPCB,AC005618.1,GIMAP8,AC107421.1,AL158825.3,AC092960.1,OSR1,KRT19P2,AC117500.6,CDK13,FOXI1,AC073862.5,LRIG2_DT,AL713866.1,AC012574.2,PYDC2
03H119,0.03342375548694973,0.008600171761917567,0.0,0.0,0.0,0.02530586526477026,0.5250448070368452,0.01703333929878037,0.0,0.0,0.0,0.004321373782642578,1.2720737875000099,1.4658288153574364,0.0,0.0,0.0
04H006,0.13987908640123647,0.0,0.0,0.08635983067474821,0.0,0.0,0.44404479591807633,0.012837224705172217,0.0,0.0,0.0,0.004321373782642578,1.387033701282363,1.0877814178095424,0.0,0.0,0.0
04H024,0.11058971029924897,0.012837224705172217,0.0,0.03742649794062367,0.0,0.0,0.48000694295715063,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,1.6242820958356683,1.735519058815171,0.0,0.0,0.0
04H025,0.1430148002540951,0.0,0.0,0.02530586526477026,0.0,0.0,0.41161970596323016,0.004321373782642578,0.0,0.0,0.0,0.0,1.417471693203293,1.374381698050882,0.0,0.0,0.0
04H030,0.09691001300805642,0.0,0.0,0.01703333929878037,0.02530586526477026,0.0,0.5198279937757188,0.021189299069938092,0.0,0.0,0.0,0.0,1.5066403055665025,1.4578818967339924,0.0,0.0,0.0
04H039,0.07188200730612536,0.0,0.0,0.0,0.0,0.0,0.36921585741014284,0.0,0.0,0.0,0.0,0.0,1.1740598077250255,0.0,0.0,0.0,0.0
04H041,0.3053513694466238,0.0,0.0,0.0,0.0,0.0,0.5526682161121932,0.008600171761917567,0.31175386105575426,0.0,0.0,0.029383777685209667,1.4398062113933303,1.4795753101749884,0.0,0.0,0.0
04H048,0.029383777685209667,0.0,0.0,0.0,0.0,0.008600171761917567,0.6532125137753437,0.012837224705172217,0.0,0.0,0.0,0.008600171761917567,1.487279816443069,1.347720217034038,0.0,0.0,0.0
04H050,0.9273703630390235,0.04921802267018165,0.0,0.01703333929878037,0.0,0.02530586526477026,0.48144262850230496,0.012837224705172217,0.0,0.0,0.0,0.021189299069938092,1.4574276929464844,1.4868553552769432,0.0,0.0,0.0
04H054,0.08278537031645007,0.029383777685209667,0.0,0.07554696139253074,0.0,0.01703333929878037,0.37474834601010387,0.004321373782642578,0.0,0.0,0.0,0.0,1.1975562131535364,1.4984484031739997,0.0,0.0,0.0
04H061,0.07188200730612536,0.0,0.0,0.06445798922691845,0.02530586526477026,0.0,0.505149978319906,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,1.4930395883176515,1.3296012483565187,0.0,0.0,0.0
04H063,0.08635983067474821,0.03342375548694973,0.0,0.0,0.0,0.02530586526477026,0.4578818967339924,0.03342375548694973,0.0,0.0,0.0,0.008600171761917567,1.5386993795424069,1.1322596895310446,0.0,0.0,0.0
